custom_xmltv_id,uhf_pk,category,name,target_xmltv_id,target_name,target_country,target_guide_sites,source_epg_channel_id,logo_url
uhf:1807,1807,Canada,Sportsnet (Ontario),CA:Sportsnet.ca,Sportsnet,CA,ontvtonight.com;tvhebdo.com;tvpassport.com;tvtv.us;watch.sportsnet.ca,CA:Sportsnet.ca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Logo_Sportsnet_2011.svg/960px-Logo_Sportsnet_2011.svg.png
uhf:2145,2145,Spain,ESP-24HORAS,ES:24Horas.es,24 Horas,ES,chaines-tv.orange.fr;gatotv.com;m.tv.sms.cz;meo.pt;mi.tv;mujtvprogram.cz;nostv.pt;orangetv.orange.es;programacion-tv.elpais.com;tv.blue.ch;tv.sfr.fr;tv24.se;vodafone.pt,,https://cms123456.com/assets/uploads/files/48bd2-telechargement-2-.jpg
uhf:2167,2167,Spain,ESP-Atreseries,ES:Atreseries.es,Atreseries,ES,chaines-tv.orange.fr;gatotv.com;mi.tv;orangetv.orange.es;programacion-tv.elpais.com;tv.blue.ch;tv.sfr.fr,,https://cms123456.com/assets/uploads/files/1514c-telechargement.jpg
uhf:2128,2128,Spain,ESP-BE.MAD,ES:BeMad.es,Be Mad,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/37d19-telechargement-9-.png
uhf:2143,2143,Spain,ESP-BOING,ES:Boing.es,Boing,ES,orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/58c86-boing_2020.svg.png
uhf:2144,2144,Spain,ESP-CLAN-TVE,ES:Clan.es,Clan,ES,cableplus.com.uy;gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/d66ed-clan_tve_logo.svg.png
uhf:2091,2091,Spain,ESP-CUATRO,ES:Cuatro.es,Cuatro,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com;tvprofil.com,,https://cms123456.com/assets/uploads/files/2daaa-telechargement-1-.png
uhf:2163,2163,Spain,ESP-Comedy Central,ES:ComedyCentral.es,Comedy Central,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/1c572-comedy_central.jpg
uhf:2107,2107,Spain,ESP-Cosmo,ES:COSMO.es,COSMO,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/d2b72-unnamed-1-.jpg
uhf:2130,2130,Spain,ESP-DISNEY_JUNIOR,ES:DisneyJunior.es,Disney Junior,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/4d5f5-disney_junior.svg.png
uhf:2096,2096,Spain,ESP-DIVINITY,ES:Divinity.es,Divinity,ES,gatotv.com;orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/bf812-telechargement-8-.png
uhf:2150,2150,Spain,ESP-DKISS,ES:DKISS.es,DKISS,ES,orangetv.orange.es,,https://cms123456.com/assets/uploads/files/7c17e-telechargement-16-.png
uhf:2179,2179,Spain,ESP-DMAX,ES:DMAX.es,DMAX,ES,orangetv.orange.es;programacion-tv.elpais.com,,https://cms123456.com/assets/uploads/files/9b8a8-dmax_logo_16_05_2011.jpg
