uhf_pk,category,name,original_name,source_epg_channel_id,source_country,target_xmltv_id,target_name,target_country,target_guide_sites,match_method,confidence,review,notes,logo_url
1912,Canada,Canada- COOKING CHANNEL,Canada- COOKING CHANNEL,,CA,CA:CookingChannel.ca,Cooking Channel,CA,tvhebdo.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1900,Canada,Canada- COTTAGE LIFE,Canada- COTTAGE LIFE,,CA,CA:CottageLife.ca,Cottage Life,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1877,Canada,Canada- CP24 Ca,Canada- CP24 Ca,,CA,CA:CP24.ca,CP24,CA,tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1823,Canada,Canada- CP24 HD CA,Canada- CP24 HD CA,,CA,CA:CP24.ca,CP24,CA,tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1822,Canada,Canada- CPAC HD CA,Canada- CPAC HD CA,,CA,CA:CPACEnglish.ca,CPAC English,CA,tvhebdo.com;tvpassport.com;tvtv.us,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1876,Canada,Canada- CPAC QC,Canada- CPAC QC,,CA,CA:CPACEnglish.ca,CPAC English,CA,tvhebdo.com;tvpassport.com;tvtv.us,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1920,Canada,Canada- CTV 2 VANCOUVER,Canada- CTV 2 VANCOUVER,,CA,,,,,unmapped,0.560,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1937,Canada,Canada- CTV Calgary,Canada- CTV Calgary,,CA,,,,,unmapped,0.600,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1824,Canada,Canada- CTV Comedy HD  ca,Canada- CTV Comedy HD  ca,,CA,CA:CTVComedyChannel.ca,CTV Comedy Channel,CA,tvhebdo.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1918,Canada,Canada- CTV Drama,Canada- CTV Drama,,CA,CA:CTVDramaChannel.ca,CTV Drama Channel,CA,ontvtonight.com;tvhebdo.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1875,Canada,Canada- CTV MONTREAL Ca,Canada- CTV MONTREAL Ca,,CA,,,,,unmapped,0.600,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1795,Canada,Canada- CTV News HD,Canada- CTV News HD,,CA,CA:CTVNewsChannel.ca,CTV News Channel,CA,i.mjh.nz;tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1821,Canada,Canada- CTV News Live Events 3 HD CA,Canada- CTV News Live Events 3 HD CA,,CA,CA:CTVNewsChannel.ca,CTV News Channel,CA,i.mjh.nz;tvhebdo.com;tvpassport.com,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1915,Canada,Canada- CTV TORONTO,Canada- CTV TORONTO,,CA,,,,,unmapped,0.571,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1916,Canada,Canada- CTV VANCOUVER,Canada- CTV VANCOUVER,,CA,,,,,unmapped,0.609,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1899,Canada,Canada- CTV2 OTTAWA,Canada- CTV2 OTTAWA,,CA,,,,,unmapped,0.600,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1921,Canada,Canada- CTV2 OTTAWA,Canada- CTV2 OTTAWA,,CA,,,,,unmapped,0.600,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1926,Canada,Canada- Canal Savoir,Canada- Canal Savoir,,CA,,,,,unmapped,0.762,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
