uhf_pk,type,category,name,original_name,epg_channel_id,logo_url
1851,0,Canada,Canada- RDS QC,Canada- RDS QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1850,0,Canada,Canada- SERIES  QC,Canada- SERIES  QC,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1849,0,Canada,Canada- SLICE Ca,Canada- SLICE Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1847,0,Canada,Canada- SUPER CHANNEL 1 Ca,Canada- SUPER CHANNEL 1 Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1846,0,Canada,Canada- SUPER CHANNEL 2 Ca,Canada- SUPER CHANNEL 2 Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1845,0,Canada,Canada- SUPER CHANNEL 4 Ca,Canada- SUPER CHANNEL 4 Ca,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1868,0,Canada,Canada- Shopping,Canada- Shopping,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1809,0,Canada,Canada- Slice HD CA,Canada- Slice HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1932,0,Canada,Canada- Sports Net 360 FHD,Canada- Sports Net 360 FHD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1936,0,Canada,Canada- Sports Net East HD,Canada- Sports Net East HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1933,0,Canada,Canada- Sports Net One HD,Canada- Sports Net One HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1935,0,Canada,Canada- Sports Net Ontario HD,Canada- Sports Net Ontario HD,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1808,0,Canada,Canada- Sports Net Pacific HD CA,Canada- Sports Net Pacific HD CA,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
